x,y,z,tot,xx,yy,zz,xy,xz,yz,xxx,yyy,zzz,xyy,xxy,xxz,xzz,yzz,yyz,xyz,xxxx,yyyy,zzzz,xxxy,xxxz,yyyx,yyyz,zzzx,zzzy,xxyy,xxzz,yyzz,xxyz,yxyz,zzxy,PMI1,PMI2,PMI3,Planar_RMSD,Inertia_Ratio,Max_Planar_Deviation,Conjugated_Ratio,Principal_Axes_Cosines_X,Principal_Axes_Cosines_Y,Principal_Axes_Cosines_Z,Projection_Area_Ratio,Gasteiger_Charge_Mean,Gasteiger_Charge_Std,EState_Mean,EState_Std,MolMR,TPSA,UMAP1,UMAP2,UMAP3,UMAP4,UMAP5,UMAP6,UMAP7,UMAP8,UMAP9,UMAP10,best_omega
2.848,-1.5326,-0.5993,3.2893,-68.7102,-47.7144,-59.1169,-10.8095,-1.3522,0.1335,55.5702,-0.4385,-0.8931,1.3875,-24.9262,-9.0928,-3.3794,0.392,-1.2469,3.5472,-1692.1371,-286.5061,-77.6973,-166.6876,-20.6626,-29.6576,-0.3797,0.6129,-0.667,-313.1672,-286.2834,-70.1761,4.6972,-1.4978,-6.1042,103.8884351,615.0444144,703.9051163,0.355363307,0.030710372,0.610636287,0.666666667,0.092473534,0.982863429,-0.159461985,2,1.57282E-17,0.15387746,3.1,3.333274909,34.0847,54.71,-0.31075868,4.149476528,10.1710186,8.784062386,1.983452082,3.340446949,0.450508177,9.276455879,7.411898613,6.731457233,0.29684
-0.4503,1.2302,0,1.3101,-59.8604,-58.1123,-68.2,7.2083,0,0,1.5375,-3.0612,0,-0.0819,55.1301,0.0002,1.0465,1.2845,0,0.0001,-1938.2979,-367.456,-78.4333,126.2758,0.0002,14.3772,0.0001,0,0,-366.981,-377.3967,-87.016,-0.0002,0.0001,1.8943,122.6769074,786.4190086,909.095916,1.01209E-05,2.10417E-11,2.10664E-05,0.666666667,-0.063194803,-0.404461717,0.91236897,0,-1.11022E-17,0.135838203,2.988888889,3.306381066,39.6957,41.57,-0.282899529,4.104382992,10.17137241,8.811541557,2.020691633,3.339132071,0.471396178,9.256746292,7.404978275,6.733963013,0.275623
0.2319,-3.3949,-0.0003,3.4028,-48.1995,-55.6237,-57.9695,-3.0772,-0.0035,0.0028,-28.1208,-2.7649,-0.0009,11.8794,-53.7294,-0.0029,-5.2034,0.3167,-0.0008,0.0011,-1324.0585,-319.7172,-59.0689,-59.6478,-0.051,-17.2565,0.0127,0.0001,0.0006,-283.7626,-268.4481,-69.7936,0.0032,-0.0042,-4.4848,101.6499033,599.2420753,695.2070384,0.168593579,0.005542963,0.331022107,0.714285714,-0.023839763,0.974671162,-0.222368593,2,3.96508E-18,0.176561252,3.05952381,3.059266153,31.8797,67.6,-0.330441773,4.19648695,10.16837883,8.778251648,1.973517776,3.336444139,0.439264357,9.288361549,7.409415722,6.746669769,0.301163
1.158,-4.3482,-0.0004,4.4998,-70.3538,-79.3475,-74.7443,-10.7562,-0.0031,0.0056,48.3071,-71.6433,-0.0013,12.1372,-31.5171,-0.0174,-0.4961,-1.4582,0.0022,0.0052,-1981.8053,-1152.3184,-78.1396,-243.0965,-0.0582,31.3404,0.0513,-0.0028,0.0011,-424.8633,-356.119,-186.4988,0.0228,-0.0062,-1.3618,328.7478625,763.4485177,1042.703334,0.545083153,0.057032453,1.316456958,0.722222222,0.09367208,-0.080532714,0.992340679,0,-4.62593E-18,0.146420305,3.12037037,3.49605794,44.3287,78.25,0.400663078,4.770217419,10.26449394,9.448158264,2.847928286,2.837559462,0.415253729,9.666692734,7.526507854,7.213690281,0.266847
1.5285,-5.8072,-0.8051,6.0587,-63.6574,-80.0222,-76.1801,7.6155,5.4877,4.3026,10.5224,-69.7796,-1.6312,-2.9899,-34.4307,-23.5022,-9.3038,-0.4061,3.2343,-9.4701,-1840.5281,-1117.584,-142.5054,135.4521,101.1598,5.5785,29.4471,5.5087,8.5701,-445.838,-388.1245,-185.131,17.7408,12.3626,9.4606,352.2426867,759.5828098,1064.485281,0.5308055,0.051188779,1.337183439,0.65,0.385818692,0.5565055,0.735829848,0,1.38778E-18,0.111462151,3.175,3.877092462,48.7387,52.47,0.309458852,4.907862186,10.24432468,9.403655052,2.795690536,2.838574648,0.407595992,9.730347633,7.518176079,7.231486797,0.258956
3.6681,-4.1727,0,5.5558,-92.9378,-66.5519,-85.3979,-5.7391,-0.0004,0,94.3848,-11.0507,0,12.3063,-89.4897,-0.0013,4.2473,-1.2004,0,0.0007,-4113.6854,-499.6214,-94.5036,-153.0597,-0.0105,-24.4865,0.0001,-0.0001,0.0001,-680.8594,-705.5623,-124.6324,0.0013,-0.0006,-5.0787,173.6519614,1440.188827,1613.840789,1.44466E-05,2.50078E-11,3.14487E-05,0.636363636,0.03441804,0.995326966,0.09021989,2,1.26162E-17,0.139031704,3.03030303,3.724881661,53.6754,57.36,0.524354815,2.568637848,9.908480644,9.374651909,3.120303631,3.328266859,0.553431034,8.535242081,6.92108345,6.771040916,0.247847
0.4248,-1.7335,-0.8389,1.9722,-79.9435,-80.7052,-88.6352,-6.0755,-4.533,2.4511,-56.7375,3.1245,-0.2304,36.6881,-82.6482,-18.5074,1.6902,-2.3408,-3.5616,7.8656,-3955.3484,-698.4831,-124.7967,-177.9351,-128.9501,-28.418,10.1986,-3.8571,3.3085,-752.5729,-754.1196,-146.2208,31.9241,-8.2839,-4.1881,234.4630884,1591.323788,1803.07863,0.346605405,0.013509632,0.885580565,0.652173913,-0.064197816,-0.711123077,0.700130424,0,-5.43044E-18,0.123302532,3.014492754,3.695684608,57.1197,54.46,0.561297774,3.563275576,10.42811012,9.373270988,2.936602116,3.291515112,0.773028672,9.257232666,7.346729279,6.651411533,0.250025
0.022,-1.8954,-0.818,2.0645,-73.7766,-84.2194,-88.5885,10.6714,4.1859,2.8426,68.7746,-8.4313,-0.6296,-33.6579,-55.2281,-21.7772,-5.5352,-1.1186,-1.8845,-8.4014,-3910.5738,-730.5847,-125.5318,294.2859,120.93,27.8124,15.9285,3.9747,2.7716,-713.7447,-770.7125,-141.9211,25.6177,8.132,3.8201,238.3389828,1583.233439,1798.801915,0.344055429,0.012629229,0.851326797,0.652173913,0.07505615,0.956018968,-0.283538897,2,-6.03382E-18,0.122882647,3.014492754,3.683004893,57.1197,54.46,0.491140932,3.494439363,10.32804394,9.299772263,2.827515841,3.325166941,0.79958725,9.182442665,7.384730816,6.591846466,0.249482
1.1774,-5.7664,-0.4518,5.9027,-80.8019,-82.6198,-88.2655,1.3136,-6.1893,2.8824,-40.4135,-31.4171,-1.5737,37.2636,-84.5731,-21.5815,5.5744,0.7733,1.4679,8.708,-3986.5145,-695.905,-133.2898,-208.3029,-149.2007,40.3466,13.0753,-2.584,4.2739,-768.6948,-768.826,-140.6244,34.5044,-18.3461,-9.4741,236.051446,1596.207735,1806.506896,0.367107543,0.015011972,0.912082262,0.652173913,0.055282338,0.512954102,0.856634083,0,1.20676E-18,0.121915827,3.014492754,3.692157576,57.1197,54.46,0.315186441,3.339379311,10.15154552,9.150698662,2.601126432,3.355755568,0.745524287,9.006217003,7.398593903,6.551549911,0.249246
-1.7412,1.8401,0,2.5333,-63.1815,-91.4548,-86.0325,-21.387,0,0,-7.3784,-1.3917,0,-24.0187,25.0468,-0.0002,2.1707,0.3195,0,0,-3163.2276,-757.6636,-89.7303,-430.6002,0.0008,-80.8469,-0.0001,0,0,-824.5005,-709.9915,-142.0051,-0.0001,0,-1.3209,233.2939677,1538.56086,1771.854828,4.85266E-06,2.52462E-12,1.40609E-05,0.714285714,-0.023372337,-0.089100566,0.995748373,0,-1.58603E-17,0.154238187,2.952380952,3.301062873,52.7097,80.24,-0.182583958,3.973077536,10.17364216,8.875315666,2.128513575,3.341294289,0.514085472,9.210309982,7.386620522,6.715954781,0.271068
