iter	Passed	Remaining
0	3	1486
1	377	72205
2	381	48592
3	387	36920
4	504	38321
5	507	32065
6	511	27594
7	514	24249	540	20282
10	620	21105
11	627	19510
12	640	112	8513	873	23139
14	877	21645
15	881	20333
16	885	19168
17	889	117	9918	955	18399
19	959	17507
20	968	16781
21	971	16034
22	975	15351
23	979	14726
24	982	14148
25	986	125	1126	1012	126	1495	19833
27	1500	19131
2829	1559	18453
30	1574	17980
31	1578	174031	1871	20640
32	1875	20002
33	1878	19394
34	1935	1832	17761
36	1835	17260
37	1849	16889
38	2122	18829
39	2288	19740
40	2449	20552
41	2493	20367
42	2621	20847
43	2710	21003
44	2726	20603
45	2730	20120
46	2733	19655
47	2736	19211
48	2739	18785
49	2742	18376
50	2746	17983
51	2749	17607
52	2752	17245
53	2756	16896
54	2759	16554	2878	17273
55	2882	16933
56	2885	16605
57	2889	16289
58	2892	15982
59	2895	15685
60	2899	15406161	3381	17616
62	3388	17318
63	3392	17014
64	3395	16717
65	3710	17932
66	3756	17830
67	3760	17529
68	3763	17234
69	3766	16950
70	3770	16673
71	3773	16404
72	3787	16187
73	4046	17007
74	4268	17641
75	4272	17372
76	4276	17104
77	4279	16844
78	4283	16590
79	4286	16342
80	4290	16101
81	4293	15865
82	4296	15634
83	4300	15409
85	4357	15149
86	4361	14940
87	4366	14738
88	4370	14535
88	4317	14357
89	4320	14161
90	4323	13969
91	4327	13781
92	4330	13597
93	4333	13416
94	4337	13240
95	4340	13067
96	4344	12898
97	4347	12731
4352	11758
104	4355	11614
105	4358	11473
106	4362	11333
107	4365	11197
108	4369	11063
109	4372	10931
110	4376	10802
111	4379	10675
112	4383	10550
113	4386	10427
114	4390	10307
115	4393	10188
116	4397	10071
117	4400	9957
118	4404	9844
119	4407	9732
120	4410	9623
121	4414	9515
122	4417	9409
123	4421	9305
124	4424	9202
125	4427	9101
126	4431	9001
127	4434	8903
128	4438	8807
129	4441	8712
130	4454	8637
2644
148	1656	2624
149	1660	2601
150	1686	2614
151	1690	2591
152	1694	2568
153	1697	2546
154	1701	2524
155	1995	2929
156	2188	3177
157	2195	3154
158	2199	3126
159	2202	3097
160	2529	3519
161	2688	3700
162	2691	3666
163	2933	3952
164	2937	3916
165	2940	3879
166	3057	3991
167	3061	3954
168	3064	3916
169	3069	3882
170	3430	4292
171	3434	4253
172	3437	4212
173	3556	4312
174	3808	4570
175	3836	4556
176	3840	4512
177	3843	4469
178	3846	4427
179	3850	4385
180	3997	4505
181	4307	4804
182	4311	4759
183	4387	4792
184	4399	4756
185	4513	4829
186	4517	4783
187	4520	4737
188	4524	4691
189	4527	4646
190	4931	5008
191	4934	4960
192	4937	4912
193	4941	4865
194	5083	4953
