iter	Passed	Remaining
0	42	7687
1	82	7406
2	121	7225
3	159	7077
4	197	6995
5	235	6909
6	272	6809
7	309	6731
8	348	6694
9	386	6648
10	424	6592
11	462	6545
12	498	6484
13	536	6438
14	573	6383
15	610	6334
16	647	6288
17	686	6258
18	724	6214
19	760	6161
20	797	6115
21	835	6073
22	871	6025
23	907	5976
24	945	5936
25	983	5899
26	1020	5856
27	1057	5818
28	1095	5780
29	1133	5743
30	1170	5703
31	1207	5659
32	1243	5614
33	1280	5572
34	1317	5531
35	1353	5488
36	1390	5447
37	1426	5404
38	1462	5362
39	1498	5318
40	1535	5279
41	1571	5238
42	1607	5197
43	1643	5155
44	1679	5114
45	1716	5073
46	1758	5051
47	1798	5021
48	1834	4979
49	1869	4936
50	1906	4895
51	1942	4855
52	1977	4812
53	2013	4772
54	2050	4733
55	2087	4695
56	2122	4655
57	2159	4616
58	2196	4580
59	2235	4546
60	2273	4509
61	2311	4474
62	2348	4436
63	2385	4399
64	2422	4361
65	2461	4327
66	2503	4296
67	2537	4254
68	2572	4213
69	2608	4172
70	2645	4135
71	2682	4098
72	2717	4057
73	2753	4018
74	2791	3983
75	2828	3945
76	2864	3906
77	2901	3868
78	2936	3828
79	2971	3788
80	3006	3748
81	3041	3708
82	3077	3670
83	3112	3631
84	3147	3591
85	3181	3551
86	3217	3513
87	3252	3474
88	3287	3434
89	3322	3396
90	3358	3358
91	3393	3319
92	3429	3282
93	3464	3243
94	3501	3206
95	3537	3168
96	3575	3132
97	3613	3097
98	3650	3060
99	3687	3023
100	3724	2986
101	3761	2950
102	3799	2914
103	3839	2879
104	3880	2845
105	3917	2808
106	3958	2774
107	3996	2738
108	4033	2701
109	4072	2665
110	4108	2627
111	4141	2588
112	4177	2550
113	4212	2512
114	4248	2474
115	4284	2437
116	4320	2400
117	4355	2362
118	4391	2325
119	4427	2287
120	4463	2250
121	4499	2212
122	4535	2175
123	4571	2138
124	4607	2101
125	4644	2064
126	4679	2026
127	4715	1989
128	4751	1952
129	4790	1916
130	4826	1879
131	4864	1842
132	4900	1805
133	4937	1768
134	4974	1731
135	5011	1694
136	5048	1658
137	5084	1621
138	5122	1584
139	5160	1548
140	5199	1511
141	5236	1475
142	5273	1438
143	5317	1403
144	5354	1366
145	5392	1329
146	5430	1292
147	5467	1256
148	5505	1219
149	5542	1182
150	5580	1145
151	5618	1108
152	5656	1072
153	5693	1035
154	5732	998
155	5770	961
156	5809	925
157	5846	888
158	5885	851
159	5922	814
160	5959	777
161	5997	740
162	6034	703
163	6070	666
164	6107	629
165	6144	592
166	6181	555
167	6219	518
168	6255	481
169	6294	444
170	6332	407
171	6370	370
172	6409	333
173	6447	296
174	6485	259
175	6525	222
176	6564	185
177	6601	148
178	6639	111
179	6683	74
180	6721	37
181	6759	0
