x,y,z,tot,xx,yy,zz,xy,xz,yz,xxx,yyy,zzz,xyy,xxy,xxz,xzz,yzz,yyz,xyz,xxxx,yyyy,zzzz,xxxy,xxxz,yyyx,yyyz,zzzx,zzzy,xxyy,xxzz,yyzz,xxyz,yxyz,zzxy,PMI1,PMI2,PMI3,Planar_RMSD,Inertia_Ratio,Max_Planar_Deviation,Conjugated_Ratio,Principal_Axes_Cosines_X,Principal_Axes_Cosines_Y,Principal_Axes_Cosines_Z,Projection_Area_Ratio,Gasteiger_Charge_Mean,Gasteiger_Charge_Std,EState_Mean,EState_Std,MolMR,TPSA,UMAP1,UMAP2,UMAP3,UMAP4,UMAP5,UMAP6,UMAP7,UMAP8,UMAP9,UMAP10,best_omega
2.848,-1.5326,-0.5993,3.2893,-68.7102,-47.7144,-59.1169,-10.8095,-1.3522,0.1335,55.5702,-0.4385,-0.8931,1.3875,-24.9262,-9.0928,-3.3794,0.392,-1.2469,3.5472,-1692.1371,-286.5061,-77.6973,-166.6876,-20.6626,-29.6576,-0.3797,0.6129,-0.667,-313.1672,-286.2834,-70.1761,4.6972,-1.4978,-6.1042,102.3635089,620.2206726,722.5841814,1.80327E-05,7.72692E-11,3.03261E-05,0.666666667,0.00316164,-0.99967602,0.025255872,2,1.57282E-17,0.15387746,3.1,3.333274909,34.0847,54.71,-0.045893885,4.271704674,10.27785778,9.558663368,2.960454226,6.567409992,1.022658348,0.01513132,7.919645786,4.319560528,0.247264
-0.4503,1.2302,0,1.3101,-59.8604,-58.1123,-68.2,7.2083,0,0,1.5375,-3.0612,0,-0.0819,55.1301,0.0002,1.0465,1.2845,0,0.0001,-1938.2979,-367.456,-78.4333,126.2758,0.0002,14.3772,0.0001,0,0,-366.981,-377.3967,-87.016,-0.0002,0.0001,1.8943,119.083915,776.8286258,895.9125407,3.3486E-05,2.2554E-10,7.11785E-05,0.666666667,0.129321607,0.455085065,-0.881007097,0,-1.11022E-17,0.135838203,2.988888889,3.306381066,39.6957,41.57,-0.068704553,4.16572237,10.24554157,9.562747002,3.002978325,6.5930233,1.043176651,0.062704414,7.905518055,4.33003664,0.228432
0.2319,-3.3949,-0.0003,3.4028,-48.1995,-55.6237,-57.9695,-3.0772,-0.0035,0.0028,-28.1208,-2.7649,-0.0009,11.8794,-53.7294,-0.0029,-5.2034,0.3167,-0.0008,0.0011,-1324.0585,-319.7172,-59.0689,-59.6478,-0.051,-17.2565,0.0127,0.0001,0.0006,-283.7626,-268.4481,-69.7936,0.0032,-0.0042,-4.4848,100.732174,597.5748926,698.3070666,5.17023E-06,5.28597E-12,1.29408E-05,0.714285714,-0.021926019,-0.045792281,0.998710327,0,3.96508E-18,0.176561252,3.05952381,3.059266153,31.8797,67.6,-0.029073535,4.330843449,10.30462551,9.537063599,2.917752504,6.578944683,1.013562202,-0.035558153,7.952850819,4.341883183,0.249686
1.158,-4.3482,-0.0004,4.4998,-70.3538,-79.3475,-74.7443,-10.7562,-0.0031,0.0056,48.3071,-71.6433,-0.0013,12.1372,-31.5171,-0.0174,-0.4961,-1.4582,0.0022,0.0052,-1981.8053,-1152.3184,-78.1396,-243.0965,-0.0582,31.3404,0.0513,-0.0028,0.0011,-424.8633,-356.119,-186.4988,0.0228,-0.0062,-1.3618,356.7678918,767.9113311,1100.04751,0.389208892,0.02876113,0.810311163,0.722222222,0.003329792,-0.229625103,0.973273458,0,-4.62593E-18,0.146420305,3.12037037,3.49605794,44.3287,78.25,0.527539492,4.808864594,10.46461105,10.10860157,4.169409275,6.99574995,0.85646373,-0.259300709,7.490465641,4.691093922,0.219461
1.5285,-5.8072,-0.8051,6.0587,-63.6574,-80.0222,-76.1801,7.6155,5.4877,4.3026,10.5224,-69.7796,-1.6312,-2.9899,-34.4307,-23.5022,-9.3038,-0.4061,3.2343,-9.4701,-1840.5281,-1117.584,-142.5054,135.4521,101.1598,5.5785,29.4471,5.5087,8.5701,-445.838,-388.1245,-185.131,17.7408,12.3626,9.4606,357.6579604,781.1434311,1102.206255,0.453828409,0.036187311,1.162506036,0.65,0.006489683,-0.078949634,0.996857482,0,1.38778E-18,0.111462151,3.175,3.877092462,48.7387,52.47,0.506462812,4.93683672,10.45870304,10.0823698,4.065392017,7.026790619,0.886326313,-0.355722636,7.541608334,4.630812645,0.213142
3.6681,-4.1727,0,5.5558,-92.9378,-66.5519,-85.3979,-5.7391,-0.0004,0,94.3848,-11.0507,0,12.3063,-89.4897,-0.0013,4.2473,-1.2004,0,0.0007,-4113.6854,-499.6214,-94.5036,-153.0597,-0.0105,-24.4865,0.0001,-0.0001,0.0001,-680.8594,-705.5623,-124.6324,0.0013,-0.0006,-5.0787,179.169695,1430.440247,1609.609942,2.42067E-05,7.0979E-11,7.8285E-05,0.636363636,0.1041348,0.626173516,-0.772698305,0,1.26162E-17,0.139031704,3.03030303,3.724881661,53.6754,57.36,-0.028115693,2.424205303,9.978281021,10.21683121,3.855813742,6.6544981,1.0977391,0.508460522,7.38839674,5.481328011,0.203956
0.4248,-1.7335,-0.8389,1.9722,-79.9435,-80.7052,-88.6352,-6.0755,-4.533,2.4511,-56.7375,3.1245,-0.2304,36.6881,-82.6482,-18.5074,1.6902,-2.3408,-3.5616,7.8656,-3955.3484,-698.4831,-124.7967,-177.9351,-128.9501,-28.418,10.1986,-3.8571,3.3085,-752.5729,-754.1196,-146.2208,31.9241,-8.2839,-4.1881,237.2149747,1629.152194,1863.148321,0.134323509,0.001931615,0.335139592,0.652173913,-0.064483434,0.011752873,-0.997849566,0,-5.43044E-18,0.123302532,3.014492754,3.695684608,57.1197,54.46,0.359400719,3.292106152,10.35361195,9.778057098,4.180831909,6.517786026,0.739712477,0.608954012,7.450869083,4.562078476,0.203328
0.022,-1.8954,-0.818,2.0645,-73.7766,-84.2194,-88.5885,10.6714,4.1859,2.8426,68.7746,-8.4313,-0.6296,-33.6579,-55.2281,-21.7772,-5.5352,-1.1186,-1.8845,-8.4014,-3910.5738,-730.5847,-125.5318,294.2859,120.93,27.8124,15.9285,3.9747,2.7716,-713.7447,-770.7125,-141.9211,25.6177,8.132,3.8201,238.1911137,1618.542147,1854.639601,0.104583553,0.001134982,0.26294717,0.652173913,0.013398627,0.139241233,0.990167842,0,-6.03382E-18,0.122882647,3.014492754,3.683004893,57.1197,54.46,0.323078275,3.232901573,10.27529812,9.704359055,4.110342503,6.554625511,0.781925261,0.656884313,7.472693443,4.545362949,0.205619
1.1774,-5.7664,-0.4518,5.9027,-80.8019,-82.6198,-88.2655,1.3136,-6.1893,2.8824,-40.4135,-31.4171,-1.5737,37.2636,-84.5731,-21.5815,5.5744,0.7733,1.4679,8.708,-3986.5145,-695.905,-133.2898,-208.3029,-149.2007,40.3466,13.0753,-2.584,4.2739,-768.6948,-768.826,-140.6244,34.5044,-18.3461,-9.4741,234.5958688,1628.972945,1861.154127,0.115267508,0.001386841,0.288727843,0.652173913,0.016466089,-0.473295288,0.880749929,0,1.20676E-18,0.121915827,3.014492754,3.692157576,57.1197,54.46,0.156513214,3.08388114,10.12137222,9.605482101,3.819653988,6.636489868,0.932005703,0.731289029,7.559381962,4.616731167,0.205725
-1.7412,1.8401,0,2.5333,-63.1815,-91.4548,-86.0325,-21.387,0,0,-7.3784,-1.3917,0,-24.0187,25.0468,-0.0002,2.1707,0.3195,0,0,-3163.2276,-757.6636,-89.7303,-430.6002,0.0008,-80.8469,-0.0001,0,0,-824.5005,-709.9915,-142.0051,-0.0001,0,-1.3209,235.998466,1577.845667,1813.844133,2.17743E-05,4.9423E-11,4.56352E-05,0.714285714,-0.027165215,0.68498413,-0.728051367,0,-1.58603E-17,0.154238187,2.952380952,3.301062873,52.7097,80.24,-0.051576037,4.012621403,10.21684837,9.58049202,3.107890606,6.605192184,1.03389883,0.142849922,7.865202904,4.353560925,0.216878
