SMILES,Mol_File
c1n[nH]cc1-c1cnoc1,xyz_maker\xyz_molecules\job_1.xyz
c1nc(-c2cn[nH]c2)cs1,xyz_maker\xyz_molecules\job_2.xyz
c1nc(-c2cn[nH]c2)no1,xyz_maker\xyz_molecules\job_3.xyz
N#Cc1cncnc1-c1cn[nH]c1,xyz_maker\xyz_molecules\job_4.xyz
N#Cc1ccccc1-c1cn[nH]c1,xyz_maker\xyz_molecules\job_5.xyz
c1cc2[nH]c(-c3cn[nH]c3)cc2cn1,xyz_maker\xyz_molecules\job_6.xyz
c1cnc2cc(-c3cn[nH]c3)ccc2n1,xyz_maker\xyz_molecules\job_7.xyz
c1cnc2cc(-c3cn[nH]c3)cnc2c1,xyz_maker\xyz_molecules\job_8.xyz
c1cnc2ncc(-c3cn[nH]c3)cc2c1,xyz_maker\xyz_molecules\job_9.xyz
c1cnc2nc(-c3cn[nH]c3)cnc2n1,xyz_maker\xyz_molecules\job_10.xyz
c1ccc2oc(-c3cn[nH]c3)nc2c1,xyz_maker\xyz_molecules\job_11.xyz
O=C1C=CC(=O)c2cc(-c3cn[nH]c3)ccc21,xyz_maker\xyz_molecules\job_12.xyz
O=c1cc[nH]c2cc(-c3cn[nH]c3)ccc12,xyz_maker\xyz_molecules\job_13.xyz
O=C1NC(=O)c2cc(-c3cn[nH]c3)ccc21,xyz_maker\xyz_molecules\job_14.xyz
c1cc2[nH]nnc2cc1-c1cn[nH]c1,xyz_maker\xyz_molecules\job_15.xyz
c1cnc(-c2ccc(-c3cn[nH]c3)cc2)cn1,xyz_maker\xyz_molecules\job_16.xyz
c1ccc(-c2ccc(-c3cn[nH]c3)cn2)nc1,xyz_maker\xyz_molecules\job_17.xyz
c1cc2[nH]c3cc(-c4cn[nH]c4)ncc3c2cn1,xyz_maker\xyz_molecules\job_18.xyz
c1cnc2[nH]c3cc(-c4cn[nH]c4)ccc3c2c1,xyz_maker\xyz_molecules\job_19.xyz
c1ccc2c(c1)sc1cc(-c3cn[nH]c3)ccc12,xyz_maker\xyz_molecules\job_20.xyz
c1cnnc(-c2cnoc2)c1,xyz_maker\xyz_molecules\job_21.xyz
c1cnnc(-c2cscn2)c1,xyz_maker\xyz_molecules\job_22.xyz
c1cnnc(-c2ncon2)c1,xyz_maker\xyz_molecules\job_23.xyz
N#Cc1cncnc1-c1cccnn1,xyz_maker\xyz_molecules\job_24.xyz
N#Cc1ccccc1-c1cccnn1,xyz_maker\xyz_molecules\job_25.xyz
c1cnnc(-c2cc3cnccc3[nH]2)c1,xyz_maker\xyz_molecules\job_26.xyz
c1cnnc(-c2ccc3nccnc3c2)c1,xyz_maker\xyz_molecules\job_27.xyz
c1cnnc(-c2cnc3cccnc3c2)c1,xyz_maker\xyz_molecules\job_28.xyz
c1cnnc(-c2cnc3ncccc3c2)c1,xyz_maker\xyz_molecules\job_29.xyz
c1cnnc(-c2cnc3nccnc3n2)c1,xyz_maker\xyz_molecules\job_30.xyz
c1cnnc(-c2nc3ccccc3o2)c1,xyz_maker\xyz_molecules\job_31.xyz
O=C1C=CC(=O)c2cc(-c3cccnn3)ccc21,xyz_maker\xyz_molecules\job_32.xyz
O=c1cc[nH]c2cc(-c3cccnn3)ccc12,xyz_maker\xyz_molecules\job_33.xyz
O=C1NC(=O)c2cc(-c3cccnn3)ccc21,xyz_maker\xyz_molecules\job_34.xyz
c1cnnc(-c2ccc3[nH]nnc3c2)c1,xyz_maker\xyz_molecules\job_35.xyz
c1cnnc(-c2ccc(-c3cnccn3)cc2)c1,xyz_maker\xyz_molecules\job_36.xyz
c1ccc(-c2ccc(-c3cccnn3)cn2)nc1,xyz_maker\xyz_molecules\job_37.xyz
c1cnnc(-c2cc3[nH]c4ccncc4c3cn2)c1,xyz_maker\xyz_molecules\job_38.xyz
c1cnnc(-c2ccc3c(c2)[nH]c2ncccc23)c1,xyz_maker\xyz_molecules\job_39.xyz
c1cnnc(-c2ccc3c(c2)sc2ccccc23)c1,xyz_maker\xyz_molecules\job_40.xyz
Nc1ccccc1-c1cnoc1,xyz_maker\xyz_molecules\job_41.xyz
Nc1ccccc1-c1cscn1,xyz_maker\xyz_molecules\job_42.xyz
Nc1ccccc1-c1ncon1,xyz_maker\xyz_molecules\job_43.xyz
N#Cc1cncnc1-c1ccccc1N,xyz_maker\xyz_molecules\job_44.xyz
N#Cc1ccccc1-c1ccccc1N,xyz_maker\xyz_molecules\job_45.xyz
Nc1ccccc1-c1cc2cnccc2[nH]1,xyz_maker\xyz_molecules\job_46.xyz
Nc1ccccc1-c1ccc2nccnc2c1,xyz_maker\xyz_molecules\job_47.xyz
Nc1ccccc1-c1cnc2cccnc2c1,xyz_maker\xyz_molecules\job_48.xyz
Nc1ccccc1-c1cnc2ncccc2c1,xyz_maker\xyz_molecules\job_49.xyz
Nc1ccccc1-c1cnc2nccnc2n1,xyz_maker\xyz_molecules\job_50.xyz
Nc1ccccc1-c1nc2ccccc2o1,xyz_maker\xyz_molecules\job_51.xyz
Nc1ccccc1-c1ccc2c(c1)C(=O)C=CC2=O,xyz_maker\xyz_molecules\job_52.xyz
Nc1ccccc1-c1ccc2c(=O)cc[nH]c2c1,xyz_maker\xyz_molecules\job_53.xyz
Nc1ccccc1-c1ccc2c(c1)C(=O)NC2=O,xyz_maker\xyz_molecules\job_54.xyz
Nc1ccccc1-c1ccc2[nH]nnc2c1,xyz_maker\xyz_molecules\job_55.xyz
Nc1ccccc1-c1ccc(-c2cnccn2)cc1,xyz_maker\xyz_molecules\job_56.xyz
Nc1ccccc1-c1ccc(-c2ccccn2)nc1,xyz_maker\xyz_molecules\job_57.xyz
Nc1ccccc1-c1cc2[nH]c3ccncc3c2cn1,xyz_maker\xyz_molecules\job_58.xyz
Nc1ccccc1-c1ccc2c(c1)[nH]c1ncccc12,xyz_maker\xyz_molecules\job_59.xyz
